CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
merchandising,zzzdellanyard19,3 in 1 nylon lanyard cable adv,20,2.01,D,deltron,,
merchandising,zzznzxttshirt,tshirt nzxt merchandising,2,99.5,Z,nzxt,,
monitor curvo 23,mon238cte2401s,"monitor curvo teros te-2401s, 23.8 fhd va, hdmi,vga[@@@]el monitor curvo teros te-24",20,75.38,P,teros,$70.00,R7094: Detalle de #PROMOCIONR7094; R6504: PROMO(6+1) POR LA COMPRA DE MON TE 24 FHD 100HZ 5MS CURVO; R8553: CORPORACION LUANA
monitor curvo 23,mon238cte2402s,"monitor curvo teros te-2402s, 23.8 fhd va, hdmi,vga[@@@]el monitor curvo teros te-24",20,79.4,P,teros,,R8002: GRATIS(teclado+ mouse+ mouse pad) POR LA COMPRA DE  MON238CTE2402S
monitor curvo 27,mon27cadv2751s,"monitor curvo advance adv-2751s, 27 va fhd curvo, hdmi, dp[@@@]mejora tu experiencia",10,98.49,P,advance computer corp,,
monitor curvo 27,monsmlc27f391fh,"monitor samsung lc27f391fhnxza, 27 va curvo, 1920x1080 fhd, hdmi / vga / audio.[@@@]",0,118.59,W,samsung,$107.89,R7470: Detalle de #PROMOCIONR7470
monitor curvo 31.5,mon315cte3251s,"monitor curvo teros te-3251s, 31.5 2k qhd va, 75hz, 1 ms, hdmi, dp, usb[@@@]experime",20,170.85,P,teros,,R6815: GRATIS(MON TE 24  FHD 100HZ 5MS CURVO) POR LA COMPRA DE (3UNI) MON TE 32 QHD 75HZ 1MS CV
monitor gaming curvo 23,mon238cte2471g,"monitor curvo gaming teros te- 2471g, 23.8 fhd va, 165 hz, 2 ms, hdmi, dp[@@@]el mon",0,89.45,P,teros,$80.00,R6806: Detalle de #PROMOCIONR6806
monitor gaming curvo 23,mon238cte2473g,"monitor curvo teros te-2473g, 23.8 fhd va, hdmi,dp[@@@]el monitor curvo de 23.8 con",20,99.5,P,teros,,R6820: GRATIS(KB MS HS PAD TEROS TE-4063N) POR LA COMPRA DE MON TE 24 FHD 180HZ 1MS CV
monitor gaming curvo 27,mon27cte2766g,"monitor curvo gaming teros te-2766g, 27 fhd va, 180 hz, 1 ms, hdmi, dp, pivot[@@@]el",20,129.14,P,teros,,R6807: GRATIS(KB MS HS PAD TEROS TE-4063N) POR LA COMPRA DE MON TE 27 FHD 180HZ 1MS CURVO; R7092: PROMOCION DESDE $150+IGV POR LA COMPRA DE MON27CTE2766G + CASE ATX TE1311 WHITE
monitor gaming curvo 27,mon27cte2767g,"monitor curvo teros te-2767g, 27 qhd va, 180 hz,1 ms, hdmi, dp, pivot[@@@]el monitor",20,209.04,P,teros,,R6834: GRATIS(MON TE 24  FHD 100HZ 5MS CURV) POR LA COMPRA DE (2UNI) MON TE 27 FHD 180HZ 1MS CV
monitor gaming curvo 27,monle67b6gac1la,"monitor lenovo legion r27fc-30, 27 va/fhd/curvo/16:9/240hz/hdmix2/dpx1/parlantes (3w",20,198.99,W,lenovo - idea,$186.00,R7583: Detalle de #PROMOCIONR7583
monitor gaming plano 23,monsmls24dg300e,"monitor plano gaming samsung odyssey g3, 24 fhd va, 180hz, 1ms, hdmi, dp[@@@]este mo",20,142.71,W,samsung,,
monitor gaming plano 27,mon27fte2752g,"monitor plano gaming teros te-2752g, 27 fhd ips,165 hz, 1 ms, hdmi, dp[@@@]el monito",0,119.6,P,teros,,R6920: GRATIS(KB MS HS PAD TEROS TE-4063N) POR LA COMPRA DE MON TE 27 FHD 165HZ 1MS FL
monitor gaming plano 27,mon27fte2769g,"monitor plano gaming teros te-2769g, 27 qhd ips flat, 180 hz, 1ms, hdmi, dp, audio[@",20,178.89,P,teros,,R7225: GRATIS(MON27CTE2766G ) POR LA COMPRA DE(3UNI)  MON TE 27QHD 180HZ 1MS FT
monitor gaming plano 27,monsmls27dg300e,"monitor plano gaming samsung odyssey g3, 27 fhd va, hdmi, display port, has, negro[@",20,174.47,W,samsung,,
monitor plano 18.5 - 19.5,monle62f7kar4la,"monitor lenovo thinkvision e20-30, 19.5 1600x900tn, hdmi, vga, color raven black.[@@",20,89.95,W,lenovo - thinkpad,,
monitor plano 21.45,mon215fadv2152s,"monitor advance plano adv-2152s, 21.5 ips boe, hdmi, dp, vga, speaker[@@@]descubre e",0,55.28,P,advance computer corp,,
monitor plano 21.45,mon215fte2127s,"monitor plano teros te-2127s, 21.5 fhd ips, hdmi, vga[@@@]el monitor plano teros te-",0,52.26,P,teros,,R6755: GRATIS(MOUSE) POR LA COMPRA DE MON TE 21.5 FHD 100HZ MS FT
monitor plano 21.45,monhp64w30aa,"monitor hp p22h g5 21.5 fhd ips (1920x1080), hdmi / vga / dp / parlantes 2 x 2 w[@@@",20,114.07,W,hp comercial,,
monitor plano 21.45,monle63fckarbla,"monitor lenovo thinkvision s22i-30, 21.5 wled ips, anti-glare, 75hz, 1 x hdmi, 1 x v",20,94.37,W,lenovo - thinkpad,,
monitor plano 23,mon238fadv2450s,"monitor flat advance pivot adv-2450s, 23.8 ips, 1920x1080, full hd, hdmi, dp, speake",20,80.4,P,advance computer corp,,R6868: !!OFERTA POR LA COMPRA DE 4 MONITORES ADV 2450S  LLEVATE GRATIS 1 PARLANTE TE-6042N !!
monitor plano 23,mon238fadv2453s,"monitor plano advance adv-2453s, 23.8 ips, hdmi,vga, speakers[@@@]descubre el monito",20,75.38,P,advance computer corp,,
monitor plano 23,mon238fte2415s,"monitor plano teros te-2415s, 23.8 fhd ips, hdmi, dp[@@@]el monitor plano teros te-2",20,70.35,P,teros,,R8199: GRATIS(TECLADO+ MOUSE) POR LA COMPRA DE MON TE 24 FHD 120HZ 1MS FLAT; R6802: GRATIS(MON TE 24  FHD 100HZ 5MS CURVO) POR LA COMPRA DE (8UNI) MON TE 24 FHD 120HZ 1MS FLAT; R6500: PROMO (10+1) POR LA COMPRA DE MON TE 24 FHD 120HZ 1MS FLAT
monitor plano 23,mon24lg24mr400w,"monitor lg 24mr400, 23.8 fhd/ips/100hz/anti-reflejante/vga x1/hdmi x1/headphones-out",0,84.92,W,lg electronics,,
monitor plano 23,mon24lg24ms500,"monitor lg 24ms500-b 23.8 fhd ips (1920x1080), hdmi x2 / headphones-out x1[@@@]relac",20,89.04,W,lg electronics,$73.60,R8521: Detalle de #PROMOCIONR8521
monitor plano 23,monhp64w18aaaba,"monitor hp p24v g5, 23.8 fhd (1920 x 1080 a 75hz) va, hdmi / vga, color negro.[@@@]r",20,106.53,W,hp comercial,,
monitor plano 23,monhp64w34aaaba,"monitor hp p24h g5, 23.8 fhd (1920 x 1080 a 75hz) ips, hdmi / vga / dp, color negro.",20,127.64,W,hp comercial,,
monitor plano 23,monhp64x66aaaba,"monitor hp p24 g5, 23.8 fhd (1920 x 1080 a 75hz)ips, hdmi / vga / dp, color negro.[@",0,119.6,W,hp comercial,,
monitor plano 23,monhp6n6e9aaaba,"monitor hp e24 g5 23.8 fhd/ips/16:9/75hz, hdmi x1/dp x1/usb-b x1/usb 3.2 gen 1 tipo-",20,155.78,W,hp comercial,,
monitor plano 23,monle63b2mar6la,"monitor lenovo thinkvision t23i-30, 23 1920x1080wled ips hdmi/dp/vga color raven bla",9,157.79,W,lenovo - thinkpad,,
monitor plano 23,monle63cfmar1la,"monitor lenovo thinkvision t24i-30, 23.8 wled ips, 1 x hdmi, 1 x displayport, 1 x vg",20,173.87,W,lenovo - thinkpad,,
monitor plano 23,monle63d8mar3la,"monitor lenovo thinkvision t24v-30, 23.8 1920x1080 wled ips hdmi/dp/vga color raven ",20,200.0,W,lenovo - thinkpad,,
monitor plano 23,monle63ebmar2la,"monitor lenovo thinkvision e22-30, 21.5 1920x1080 wled ips hdmi/dp/vga color raven b",20,129.65,Y,lenovo - thinkpad,,
monitor plano 23,monle63edmar2la,"monitor lenovo thinkvision e24-30, 23.8 1920x1080 wled ips hdmi/dp/vga color raven b",20,134.67,W,lenovo - thinkpad,,
monitor plano 23,monsmls24d400ga,"monitor plano samsung essential monitor s4, 24 fhd ips, 100hz, hdmi, dp[@@@]descubre",2,117.79,W,samsung,,
monitor plano 23,monsmls24d600ea,"monitor plano samsung viewfinity s6, 24 qhd ips,hdmi, display port, pivot, negro[@@@",2,195.98,W,samsung,,
monitor plano 27,mon27fte2713s,"monitor plano teros te-2713s, 27 fhd ips, hdmi, dp[@@@]el monitor plano teros te-271",20,90.45,P,teros,,
monitor plano 27,mon27lg27up550,"monitor para creadores lg 27up550-w, 27 4k uhd ips (3840x2160) hdmix2/dp/hp-out/usb-",4,294.47,W,lg electronics,,
monitor plano 27,monhp64w41aaabm,"monitor hp p27h g5 27 led/fhd/ips/16:9/75hz, hdmi x1/vga x1/altavoces duales (2wx2)[",0,149.75,W,hp comercial,,
monitor plano 27,monhp64x69aaaba,"monitor hp p27 g5 27 fhd/ips/16:9/75hz, hdmi x1/dp x1/ vga x1[@@@]monitor con pantal",0,140.7,W,hp comercial,,
monitor plano 27,monhp6n4e2aaaba,"monitor hp e27 g5, 27 fhd ips (1920x1080) hdmi/dp/usb-ax4/usb-b[@@@]pantalla flat, r",0,210.05,W,hp comercial,,
monitor plano 27,monsmls27c330ga,"monitor samsung essential s3 de 27, fhd ips (1920 x 1080), 1 x hdmi 1.4, 1 x dp 1.2[",0,121.81,W,samsung,$96.35,R7474: Detalle de #PROMOCIONR7474
monitor plano 31.5,mon315fte3252s,"monitor plano teros te-3252s, 31.5 4k uhd va led, 60 hz, 1 ms, hdmi, dp, audio[@@@]d",20,200.0,P,teros,,R6812: GRATIS(KB MS HS PAD TEROS TE-4063N) POR LA COMPRA DE MON TE 32 UHD 60HZ 1MS FT; R6816: GRATIS(MON TE 24  FHD 100HZ 5MS CURVO) POR LA COMPRA DE(3uni) MON TE 32 UHD 60HZ 1MS FT
monitor plano 31.5,monsmls32b300nw,"monitor samsung 32 ls32b300nwnxgo, 1920x1080, 1 x dp, 1 x hdmi.[@@@]el monitor s30b ",0,147.74,W,samsung,$131.39,R7476: Detalle de #PROMOCIONR7476
monitor plano 31.5,monsmls32d700ea,"monitor samsung viewfinity s7, 32 plano va, 4k uhd (3840x2160), hdmi x1/dp x1/auricu",0,265.32,W,samsung,,
monitor portable 14,monhp1b065aaac3,"monitor portatil hp e14 g4, 14 fhd ips 1920x1080usb, color plata[@@@]tiempo de respu",0,210.05,W,hp comercial,,
"monitores / pizarras, acc",accbkte9010s,"rack portátil teros te-9010s para pantalla táctilinteractiva de 75 a 86, negro[@@@",20,200.0,D,teros,,
"monitores / pizarras, acc",acccy-pbrk200,montaje de acoplamiento portatil para pantalla de75[@@@],0,28.14,W,samsung,,
"monitores / pizarras, acc",accdste9011s,transmisor y receptor teros te-9011s hdmi inalámbrico para pantallas[@@@]transforma t,9,99.5,D,teros,,
"monitores / pizarras, acc",acsmcy-tf65brcx,flip 2 tray cy-tf65br[@@@]esta espaciosa bandeja frontal para las pizarras digital to,4,143.57,W,samsung,,
"monitores / pizarras, acc",dsopsteopsi540,módulo de computadora (ops) teopsi540 i5 12450h 16gb ddr4 ssd256gb 4k 60hz + tpm wi-f,20,602.0,D,teros,,R8050: Dupla perfecta (OPS I5+ WIN PRO 11) A TAN SOLO $586+ IGV
