CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
cases atx ver2.0,csa25bkte1038s,"case teros te-1038s, factor de forma atx, 250 w, usb 3.0 / 2.0, audio, negro.[@@@]el ",19,23.12,D,teros,,R6811: GRATIS(MOUSE STD USB TE1220) POR LA COMPRA DE CASE STD ATX TE1038 250W BK
cases atx ver2.0,csatxte1076n,"case teros te-1076n, mid tower, atx, 250 w, usb 3.0 / 2.0, audio, negro.[@@@]el case ",0,18.09,D,teros,,
cases micro atx,csm25bkte1033s,"case teros te-1033s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",20,19.1,D,teros,,R6813: GRATIS(MOUSE STD USB TE1220) POR LA COMPRA DE CASE MICRO ATX TE1033 250W BK
cases micro atx,csm25bkte1034s,"case teros te-1034s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",20,19.1,D,teros,,R6822: GRATIS(MOUSE STD USB TE1220) POR LA COMPRA DE CASE MICRO ATX TE1034 250W BK
cases micro atx,csm25bkte1035s,"case teros te-1035s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",20,19.1,D,teros,,R6819: GRATIS(MOUSE STD USB TE1220) POR LA COMPRA DE CASE STD MICRO ATX 250W TE1035
cases micro atx,css25bkte1032s,"case teros te-1032s, slim, 250 w, usb 3.2 / usb 2.0, audio hd, dvd, negro[@@@]present",11,27.14,D,teros,,R6808: GRATIS (MOUSE) POR LA COMPRA DE CASE SLIM TE1032S BLACK
cases micro atx,css25bkte1039s,"case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present",20,27.14,D,teros,,R6740: GRATIS(MOUSE STD USB TE1221 PK) POR LA COMPRA DE CASE STD SLIM TE1039 250W BK
cases sin fuente p/gamers,csa00bkte1312g,"case gamer teros te-1312g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",0,55.28,D,teros,,R6604: GRATIS(mouse+teclado+auricular) POR LA COMPRA DE CASE ATX TE1312 BLACK; R6284: PROMOCION 4+1 POR LA COMPRA DE CASE ATX TE1312 BLACK
cases sin fuente p/gamers,csa00whte1311g,"case gamer teros te-1311g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",0,56.28,D,teros,,R6777: GRATIS(HEADSET TE8033WP) POR LA COMPRA DE CASE ATX TE1311 WHITE; R6283: PROMOCION 4+1 POR LA COMPRA DE CASE ATX TE1311 WHITE
cases sin fuente p/gamers,csm00bkte1314g,"case gamer teros te-1314g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",2,57.29,D,teros,,R6742: GRATIS (TECLADO +MOUSE STD) POR LA COMPRA DE CASE GM MICRO ATX TE1314
