
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-17 04:20:38
,"Almacen(es) :,'HUANCAYO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.660"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"computadora core i5","pclen12e40015ls","computadora lenovo thinkcentre m70q gen 4 core i5-13500t 1.6/4.6ghz, 16gb ddr4-3200 s",3,933.65, ,"","W","lenovo - thinkpad"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CONSUMO TANQUE TINTA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"consumo tanque tinta","prepl1250-n","impresora de tinta epson ecotank l1250, imprime /inalambrica / usb de alta velocidad[",1,126.63, ,"","Y","epson"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CONSUMO TANQUE TINTA MULT","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"consumo tanque tinta mult","prepl14150","multifuncional de tinta epson ecotank l14150, imprime/escanea/copia/fax/wi-fi/usb/eth",4,527.63, ,"","W","epson"
"consumo tanque tinta mult","prepl3210","multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",1,152.26, ,"","W","epson"
"consumo tanque tinta mult","prepl3210-n","multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",1,152.26, ,"","W","epson"
"consumo tanque tinta mult","prepl3250","multifuncional de tinta epson l3250, usb de alta velocidad (compatible con usb 2.0)[@",5,173.76, ,"","W","epson"
"consumo tanque tinta mult","prepl3250-n","multifuncional de tinta epson l3250, usb de alta velocidad (compatible con usb 2.0)[@",>20,173.76, ,"","W","epson"
"consumo tanque tinta mult","prepl4260-n","multifuncional de tinta epson ecotank l4260 imprime / escanea / copia / usb / inalamb",>20,205.52, ,"","W","epson"
"consumo tanque tinta mult","prepl5590-n","impresora multifuncional epson ecotank l5590, imprime/escanea/copia/fax/usb/lan/wi-fi",>20,229.04, ,"","Y","epson"
